"Time","latitude","lat_error","longitude","lon_error","depth_km","depth_error","mag_val","rms","event_id","earthquake_name","event_type","evaluationStatus","creationInfo_author","creation_time","quality_usedPhaseCount","picks_mean"
1678417286.0000,0.7842,0.5657,-77.9482,0.5657,-2.7500,0.4000,2.2040,0.0600,igepn2023euch,VT,volcanic eruption,reviewed,lgusqui@srvmonscpf,2023-03-09 22:01:26,13.0000,6.0000
1678417037.0000,0.8038,0.1414,-77.9252,0.1414,-0.2800,0.2000,2.0604,0.0300,igepn2023eucd,VT,volcanic eruption,reviewed,lgusqui@srvmonscpf,2023-03-09 21:57:17,11.0000,6.0000
1678416885.0000,0.7893,0.6364,-77.9267,0.6364,-1.6700,0.6000,2.2495,0.1700,igepn2023eucc,VT,volcanic eruption,reviewed,lgusqui@srvmonscpf,2023-03-09 21:54:45,13.0000,7.0000
1678416686.0000,0.7915,0.2828,-77.9310,0.2828,-2.8000,0.3000,2.1280,0.0600,igepn2023euby,VT,volcanic eruption,reviewed,lgusqui@srvmonscpf,2023-03-09 21:51:26,15.0000,6.0000
1678416587.0000,0.7753,0.4950,-77.9308,0.4950,-2.0000,0.5000,2.0299,0.1100,igepn2023eubx,VT,volcanic eruption,reviewed,lgusqui@srvmonscpf,2023-03-09 21:49:47,13.0000,6.0000
1678416272.0000,0.7888,0.4243,-77.9362,0.4243,-1.2400,0.4000,2.9177,0.2000,igepn2023eubt,VT,volcanic eruption,reviewed,lgusqui@srvmonscpf,2023-03-09 21:44:32,29.0000,16.0000
1678416213.0000,0.7902,0.6364,-77.9318,0.6364,-1.7000,0.6000,1.9439,0.1700,igepn2023eubs,VT,volcanic eruption,reviewed,lgusqui@srvmonscpf,2023-03-09 21:43:33,14.0000,6.0000
1678415910.0000,0.8065,0.0707,-77.9302,0.0707,0.0800,0.1000,1.8573,0.0400,igepn2023eubn,VT,volcanic eruption,reviewed,lgusqui@srvmonscpf,2023-03-09 21:38:30,15.0000,7.0000
1678415753.0000,0.8027,0.1414,-77.9308,0.1414,-0.3700,0.2000,1.9559,0.0500,igepn2023eubl,VT,volcanic eruption,reviewed,lgusqui@srvmonscpf,2023-03-09 21:35:53,13.0000,7.0000
1678415587.0000,0.7957,0.3536,-77.9248,0.3536,-2.0000,0.3000,2.5644,0.1300,igepn2023eubk,VT,volcanic eruption,reviewed,lgusqui@srvmonscpf,2023-03-09 21:33:07,19.0000,10.0000
1678415576.0000,0.7987,0.4243,-77.9325,0.4243,-1.3300,0.5000,2.8249,0.1300,igepn2023eubj,VT,volcanic eruption,reviewed,lgusqui@srvmonscpf,2023-03-09 21:32:56,14.0000,6.0000
1678415460.0000,0.7920,0.6364,-77.9330,0.6364,-1.6400,0.5000,2.0745,0.1600,igepn2023eubh,VT,volcanic eruption,reviewed,lgusqui@srvmonscpf,2023-03-09 21:31:00,13.0000,7.0000
1678415291.0000,0.7902,0.4243,-77.9298,0.4243,-2.0000,0.4000,2.2177,0.1100,igepn2023eubg,VT,volcanic eruption,reviewed,lgusqui@srvmonscpf,2023-03-09 21:28:11,14.0000,6.0000
1678415228.0000,0.7937,0.4243,-77.9260,0.4243,-2.6000,0.4000,1.8007,0.0900,igepn2023eube,VT,volcanic eruption,reviewed,lgusqui@srvmonscpf,2023-03-09 21:27:08,13.0000,6.0000
1678415228.0000,0.7988,0.4243,-77.9262,0.4243,-2.9300,0.4000,1.7928,0.1000,igepn2023eubf,VT,volcanic eruption,reviewed,lgusqui@srvmonscpf,2023-03-09 21:27:08,14.0000,6.0000
1678415133.0000,0.7952,0.4950,-77.9295,0.4950,-1.4400,0.4000,1.8120,0.1500,igepn2023eubd,VT,volcanic eruption,reviewed,lgusqui@srvmonscpf,2023-03-09 21:25:33,16.0000,6.0000
1678415047.0000,0.7875,0.3536,-77.9295,0.3536,-2.0000,0.3000,1.7764,0.0900,igepn2023eubb,VT,volcanic eruption,reviewed,lgusqui@srvmonscpf,2023-03-09 21:24:07,14.0000,6.0000
1678415047.0000,0.7897,0.3536,-77.9325,0.3536,-2.6600,0.3000,1.7239,0.0700,igepn2023eubc,VT,volcanic eruption,reviewed,lgusqui@srvmonscpf,2023-03-09 21:24:07,13.0000,7.0000
1678414942.0000,0.7912,0.4243,-77.9290,0.4243,-2.0000,0.4000,1.9704,0.1100,igepn2023euba,VT,volcanic eruption,reviewed,lgusqui@srvmonscpf,2023-03-09 21:22:22,16.0000,6.0000
